customer_id,email,status,deleted_at,stripe_customer_id,tenant_id,deployment_id,deployment_status,provider_vm_id,hostname,flapjack_url,ip_address,created_at
9a43e7c3-84d8-489c-b49f-95555d72ad39,canary+canary2026051410404829096@test.flapjack.foo,deleted,2026-05-14 10:46:41.842725+00,,,,,,,,,2026-05-14 10:40:48.438575+00
a7b0c636-aecb-4d64-ab17-c1206b4ce2c4,canary+canary2026051702474015345@test.flapjack.foo,deleted,2026-05-17 02:47:45.103875+00,,,,,,,,,2026-05-17 02:47:41.108952+00
545ee68b-d15a-469c-9151-65bb2b1f5288,canary+canary202605170249565284@test.flapjack.foo,deleted,2026-05-17 02:50:00.363558+00,,,,,,,,,2026-05-17 02:49:56.897296+00
1acd10f0-02d4-4992-80ee-4b32372a6b71,canary+canary2026051703011817852@test.flapjack.foo,deleted,2026-05-17 03:01:22.249058+00,,,,,,,,,2026-05-17 03:01:19.112578+00
08a6f53c-d4b3-46b6-ad53-345a2b19c69b,canary+canary202605170302222541@test.flapjack.foo,deleted,2026-05-17 03:02:25.813879+00,,,,,,,,,2026-05-17 03:02:22.70146+00
585ddded-cbed-4623-ab88-c65a08e5017f,canary+canary202605170304183509@test.flapjack.foo,deleted,2026-05-17 03:04:21.369712+00,,,,,,,,,2026-05-17 03:04:18.309063+00
4e834804-fc3b-4c75-afcf-66161c25cdc5,canary+canary202605170316199664@test.flapjack.foo,deleted,2026-05-17 03:16:23.095648+00,,,,,,,,,2026-05-17 03:16:19.523205+00
bda7d141-4a4d-4d48-839a-209f94ca006f,canary+canary2026051703173117602@test.flapjack.foo,deleted,2026-05-17 03:17:35.544881+00,,,,,,,,,2026-05-17 03:17:31.960006+00
a208c2e2-444f-43c1-95fd-8551c0dc696d,canary+canary2026051703174919962@test.flapjack.foo,deleted,2026-05-17 03:17:53.544085+00,,,,,,,,,2026-05-17 03:17:50.054045+00
90edb89b-b025-4413-87dd-1319b0483f80,canary+canary2026051703175713200@test.flapjack.foo,deleted,2026-05-17 03:18:01.206125+00,,,,,,,,,2026-05-17 03:17:57.657639+00
5896f9db-4a53-4d0d-8c47-e9ff42355e3f,canary+canary2026051703194826034@test.flapjack.foo,deleted,2026-05-17 03:19:51.843638+00,,,,,,,,,2026-05-17 03:19:48.395407+00
9ec800b1-b696-4eb0-a7db-d14c65594d94,canary+canary2026051703265230349@test.flapjack.foo,deleted,2026-05-17 03:26:56.28504+00,,,,,,,,,2026-05-17 03:26:52.918926+00
985ea76f-84fe-4509-8dae-84a43ff7454b,canary+canary2026051703272316410@test.flapjack.foo,deleted,2026-05-17 03:27:26.524198+00,,,,,,,,,2026-05-17 03:27:23.415242+00
2d9c6c1f-2f91-4bba-9ee8-7a0fa2216472,canary+canary202605170327299088@test.flapjack.foo,deleted,2026-05-17 03:27:33.087496+00,,,,,,,,,2026-05-17 03:27:30.060427+00
207ed34f-4826-4c9d-b869-192e43c161ae,canary+canary202605170331137756@test.flapjack.foo,deleted,2026-05-17 03:31:16.491177+00,,,,,,,,,2026-05-17 03:31:13.360435+00
21f7d26d-5375-4cf3-aafb-e32a4d28bb92,canary+canary2026051703312024906@test.flapjack.foo,deleted,2026-05-17 03:31:24.77102+00,,,,,,,,,2026-05-17 03:31:20.648534+00
11cf534f-d5d0-48fa-ab05-f0af503a9e9f,canary+canary2026051703325915273@test.flapjack.foo,deleted,2026-05-17 03:33:02.633121+00,,,,,,,,,2026-05-17 03:32:59.129644+00
18901a06-b4fd-4869-be40-27bd963630e1,canary+manualprobe202605170340319747@test.flapjack.foo,deleted,2026-05-17 06:52:29.723595+00,,,,,,,,,2026-05-17 03:40:31.57399+00
58ee8f03-6faf-4b98-a8f6-f06c4868a24e,canary+manualpostfix202605170346321148@test.flapjack.foo,deleted,2026-05-17 06:52:29.657937+00,,,,,,,,,2026-05-17 03:46:32.902629+00
5fea1f55-47b6-40c9-99d6-fff228f88dca,canary+manualpostfix22026051703464519263@test.flapjack.foo,deleted,2026-05-17 06:52:29.584577+00,,,,,,,,,2026-05-17 03:46:45.343803+00
bf6eeca4-0a32-4f9c-b127-2f8934bffb26,canary+canary2026051703471021602@test.flapjack.foo,deleted,2026-05-17 03:48:19.826707+00,cus_UWze94VryOClKI,,,,,,,,2026-05-17 03:47:10.140069+00
365c4597-8cae-4263-8352-d8d244c0dbe3,canary+canary2026051703481030923@test.flapjack.foo,deleted,2026-05-17 03:49:21.736384+00,cus_UWzgBXGs0XYzk6,,,,,,,,2026-05-17 03:48:10.900658+00
175ebd1a-97e7-4c3e-bac2-1b251aa63f1d,canary+canary2026051703490929594@test.flapjack.foo,deleted,2026-05-17 03:50:19.482659+00,cus_UWzgVO1EnO7UHU,,,,,,,,2026-05-17 03:49:09.766987+00
2aea65f1-f9cd-44d3-96f9-e763703be782,canary+canary2026051703501027048@test.flapjack.foo,deleted,2026-05-17 03:51:20.955842+00,cus_UWzi7ob4Ec45iL,,,,,,,,2026-05-17 03:50:10.377527+00
6fc7cf30-1699-481e-89e8-6cc7baf23e63,canary+canary2026051704220230255@test.flapjack.foo,deleted,2026-05-17 04:23:15.99337+00,cus_UX0D7DiGdlM6zS,,,,,,,,2026-05-17 04:22:02.551991+00
